claim_id,source_id,reporting_entity,period,metric_category,metric_name,value,unit,source_url,local_path,source_location,what_it_proves,what_it_does_not_prove,status
CF-005,kfits-2026q2-10q-sec-html,KKR FS Income Trust Select,Q2 2026,vehicle structure,legal form,Delaware statutory trust,text,https://www.sec.gov/Archives/edgar/data/1975736/000162828026056136/kfits-20260630.htm,raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html,note 1 principal business and organization,"K-FITS reports that it is a specialty finance company organized on April 19 2023 as a Delaware statutory trust.","This does not identify the funding source for a specific borrower loan.",extracted
CF-005,kfits-2026q2-10q-sec-html,KKR FS Income Trust Select,Q2 2026,vehicle structure,registered structure,externally managed non-diversified closed-end management investment company regulated as BDC,text,https://www.sec.gov/Archives/edgar/data/1975736/000162828026056136/kfits-20260630.htm,raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html,note 1 principal business and organization,"K-FITS reports that it is an externally managed non-diversified closed-end management investment company that elected BDC regulation on February 20 2024.","This supports non-traded BDC/private-credit classification but not ultimate investor identity.",extracted
CF-005,kfits-2026q2-10q-sec-html,KKR FS Income Trust Select,Q2 2026,vehicle structure,tax status,regulated investment company,text,https://www.sec.gov/Archives/edgar/data/1975736/000162828026056136/kfits-20260630.htm,raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html,note 1 principal business and organization,"K-FITS reports that it elected to be treated as a regulated investment company for U.S. federal income tax purposes.","RIC status does not identify end investors.",extracted
CF-005,kfits-2026q2-10q-sec-html,KKR FS Income Trust Select,Q2 2026,manager relationship,external investment adviser,FS/KKR Advisor LLC,text,https://www.sec.gov/Archives/edgar/data/1975736/000162828026056136/kfits-20260630.htm,raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html,note 1 principal business and organization,"K-FITS reports that it is externally managed by FS/KKR Advisor LLC under an amended and restated investment advisory agreement.","This proves adviser relationship, not KKR corporate-balance-sheet funding.",extracted
CF-005,kfits-2026q2-10q-sec-html,KKR FS Income Trust Select,Q2 2026,investment strategy,primary borrower target,debt securities of private middle-market U.S. companies,text,https://www.sec.gov/Archives/edgar/data/1975736/000162828026056136/kfits-20260630.htm,raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html,note 1 principal business and organization,"K-FITS reports that it seeks to invest primarily in debt securities of private middle-market U.S. companies.","This does not classify use of proceeds or bank replacement for each borrower.",extracted
CF-005,kfits-2026q2-10q-sec-html,KKR FS Income Trust Select,Q2 2026,balance sheet,total investments at fair value,1553.547,USD millions,https://www.sec.gov/Archives/edgar/data/1975736/000162828026056136/kfits-20260630.htm,raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html,consolidated statements of assets and liabilities,"K-FITS reported 1.553547B USD of total investments at fair value at June 30 2026.","This is vehicle scale, not a borrower-specific facility size.",extracted
CF-005,kfits-2026q2-10q-sec-html,KKR FS Income Trust Select,Q2 2026,balance sheet,total assets,1610.755,USD millions,https://www.sec.gov/Archives/edgar/data/1975736/000162828026056136/kfits-20260630.htm,raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html,consolidated statements of assets and liabilities,"K-FITS reported 1.610755B USD of total assets at June 30 2026.","This does not identify ultimate investor sources.",extracted
CF-005,kfits-2026q2-10q-sec-html,KKR FS Income Trust Select,Q2 2026,balance sheet,debt,572.938,USD millions,https://www.sec.gov/Archives/edgar/data/1975736/000162828026056136/kfits-20260630.htm,raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html,consolidated statements of assets and liabilities,"K-FITS reported 572.938M USD of debt at June 30 2026.","This is vehicle leverage, not borrower allocation.",extracted
CF-005,kfits-2026q2-10q-sec-html,KKR FS Income Trust Select,Q2 2026,balance sheet,total liabilities,604.697,USD millions,https://www.sec.gov/Archives/edgar/data/1975736/000162828026056136/kfits-20260630.htm,raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html,consolidated statements of assets and liabilities,"K-FITS reported 604.697M USD of total liabilities at June 30 2026.","This does not allocate liabilities to named portfolio companies.",extracted
CF-005,kfits-2026q2-10q-sec-html,KKR FS Income Trust Select,Q2 2026,balance sheet,total shareholders equity,1006.058,USD millions,https://www.sec.gov/Archives/edgar/data/1975736/000162828026056136/kfits-20260630.htm,raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html,consolidated statements of assets and liabilities,"K-FITS reported 1.006058B USD of total shareholders equity at June 30 2026.","This identifies shareholder capital but not the exact shareholder base.",extracted
CF-005,kfits-2026q2-10q-sec-html,KKR FS Income Trust Select,Q2 2026,shareholder channel,Class S shares outstanding at June 30 2026,40.509275,shares millions,https://www.sec.gov/Archives/edgar/data/1975736/000162828026056136/kfits-20260630.htm,raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html,consolidated statements of assets and liabilities,"K-FITS reported 40.509275M Class S common shares issued and outstanding at June 30 2026.","This does not identify individual shareholders.",extracted
CF-005,kfits-2026q2-10q-sec-html,KKR FS Income Trust Select,Q2 2026,shareholder channel,Class S shares outstanding at July 31 2026,39.699495,shares millions,https://www.sec.gov/Archives/edgar/data/1975736/000162828026056136/kfits-20260630.htm,raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html,cover page,"K-FITS reported 39.699495M Class S shares outstanding as of July 31 2026.","This does not identify individual shareholders.",extracted
