batch_id,batch_type,lane,source_scope,candidate_count,seed_companies,bridge_model,fields_to_extract,acceptance_rule,disproof_signal,expected_output,status
"CF519BR-001","universe control","all lanes","all-company extraction template","519","all companies","radar-to-proof refresh","primary_lane; capital_flow_role; likely_funding_wrapper; source_availability; current_proof_level; denominator_need; next_document; safe_claim; do_not_claim","Every row keeps a lane, wrapper, proof level, denominator need, next source, and claim boundary.","Rows are treated as source-proven without primary-source extraction.","Refreshed all-company proof-level table.","template-live-batch-refresh-needed"
"CF519BR-002","selected queue control","all selected lanes","lane candidate queue","71","selected-lane candidates","lane-specific extraction queue","lane_rank; score; hard_number_count; dollar_number_count; source_pointer_count; recommended_next_step; status","Every selected row is assigned a lane-specific extraction package rather than a generic company summary.","High-score companies are promoted without source-specific fields.","Lane-specific batch tracker.","queue-live-batch-refresh-needed"
"CF519BR-003","bridge pattern","private_credit_direct_lending","selected queue","7","KKR; Apollo; Ares; BlackRock; Blackstone; Carlyle; Brookfield","source-to-vehicle-to-borrower bridge","AUM; credit AUM; direct lending AUM; fundraising; deployment; available capital; vehicle assets; borrower schedules; facility size; use of proceeds; bank-role status","Upgrade only when platform scale joins to vehicle proof or borrower-level destination/use proof.","AUM or deployment is treated as borrower allocation or bank replacement.","Private-credit source-to-destination refresh table.","ready"
"CF519BR-004","bridge pattern","insurance_and_retirement_capital","selected queue plus four-manager bridge","4 selected; 4 platform exemplars","UnitedHealth; Cigna; MetLife; Prudential; Apollo/Athene; KKR/Global Atlantic; Brookfield; Blackstone","liability-to-asset-quality bridge","policyholder liabilities; invested assets; allocation; net investment income; spread; ratings/NAIC; Schedule D/BA; affiliated exposure; impairments; borrower links","Upgrade only when statutory or rating evidence shows asset quality and capital treatment, not just AUM or inflows.","Insurance channel scale is treated as safe or unsafe credit quality.","Insurance statutory extraction queue.","asset-quality-proxy-visible"
"CF519BR-005","bridge pattern","power_grid_and_project_finance","selected queue plus AEP/Duke bridge","15","ONEOK; MasTec; Plains; Targa; NextEra; Vistra; Dycom; ABM; Granite; CACI; Constellation; Duke; NRG; Primoris","load-to-approved-recovery bridge","load GW/MW; ESA/LOA status; tariff obligations; study fees; collateral; capex plan; project cost; approved MW; ROE/rider; in-service date; who pays first","Upgrade only when load/capex ties to tariff, docket, approval, recovery, project, or in-service evidence.","Pipeline or management demand is treated as approved recoverable capital.","Power/grid project status refresh table.","pathway-visible"
"CF519BR-006","bridge pattern","capital_intensity_and_capex","selected queue plus URI/Sterling/Cheniere bridges","15","Jacobs; Steel Dynamics; Eaton; Energy Transfer; Sterling; Teledyne; AECOM; Knife River; Nucor; KBR; Verizon; Reliance; URI; Cheniere; ONE Gas","capital-to-output-to-cash bridge","growth capex; maintenance capex; backlog; OEC/assets; production/capacity; operating cash flow; free cash flow; debt; liquidity; external denominator; return proxy","Upgrade only when capital spend can be tied to output and cash/recovery proxies with period consistency.","Capex or backlog is treated as productive investment without output/cash evidence.","Capital-intensive operating-return batch.","ready"
"CF519BR-007","bridge pattern","debt_refinancing_and_facilities","selected queue","10","PBF; Devon; Matador; Liberty Broadband; Wheaton; Enhabit; Coterra; CNX; Ovintiv; Cenovus","before-after capital-stack bridge","old debt; new debt; maturity; spread/rate; collateral; lender/admin agent; use of proceeds; repayment language; covenant change; liquidity effect","Upgrade only when old/new stack and use-of-proceeds or repayment language are visible.","Refinancing is treated as growth funding without repayment/use evidence.","Refinancing before-after ledger refresh.","ready"
"CF519BR-008","bridge pattern","acquisition_finance","selected queue","10","Core & Main; Verizon; Sherwin-Williams; Lowe's; Roblox; Expand Energy; Rio Tinto; Packaging Corp.; Silgan; Phillips 66","deal-source-use-integration bridge","transaction value; consideration mix; financing commitments; debt draw; lender group; acquired assets/customers/capacity; purchase accounting; post-close revenue; margin; cash","Upgrade only when deal funding can be tied to acquired assets/customers/capacity and post-close operating evidence.","Deal value is treated as productive investment or private-credit funding without source/use proof.","Acquisition-finance integration batch.","ready"
"CF519BR-009","bridge pattern","asset_backed_and_securitization","selected queue","10","Zebra; Target; MSC Industrial; Global Industrial; Pool; Dollar General; Honeywell; Synchrony; Arrow; Henry Schein","operations-to-collateral bridge","receivables; leases; inventory; collateral pool; warehouse/securitization size; advance rate; lender/noteholder; delinquencies; losses; retained interest","Upgrade only when operating assets connect to collateral financing and credit performance.","Receivables or inventory are treated as financeable capital without facility/collateral evidence.","Asset-backed and securitization batch.","ready"
"CF519BR-010","bridge pattern","government_and_public_funding","template-only lane","1","limited current template row","public-money-cost-reduction bridge","grant; tax credit; loan program; authority; project; condition; private co-funding; customer savings; clawback; timing","Upgrade only when public funding amount, authority, project link, and condition are visible.","Policy support is treated as received cash without award or condition proof.","Government/public funding queue expansion.","needs-more-candidates"
