gate_id,target,company,proof_channel,chain_step,required_evidence,current_evidence_metric_ids,current_status,current_evidence_summary,blocking_gap,pass_standard,next_source_or_extraction,safe_claim
CFPGW-001,FPL recovery category,"NextEra Energy, Inc.",regulated recovery,capital category selected,Select one recoverable capital category or project family.,CFPGFM-008; CFPGFM-010; CFPGFM-011; CFPGFM-017; CFPGFM-018; CFPLSP-001; CFPLSP-002; CFPLSP-003; CFPLSP-004,pass-bridge,"SPPCRC storm-protection categories, SoBRA solar/battery mechanics, revenue requirements, and FPL solar in-service/portfolio output are visible.","No single physical project has been isolated into a complete return row, but a storm-protection category family is now selectable.","Selected SPPCRC storm-protection categories have explicit category, recovery-dollar, and timing rows.","Use SPPCRC category rows as the selected FPL recovery category; then add tariff factors, true-up, WACC, and physical output.","FPL has selectable category-level recovery evidence, not full project return proof."
CFPGW-002,FPL recovery category,"NextEra Energy, Inc.",regulated recovery,capital use amount,Capital or property additions tied to the selected category.,CFPGFM-010; CFPGFM-011; CFPLSP-005; CFPLSP-006; CFPLSP-008; CFPLSP-009; CFPLSP-011; CFPLSP-012; CFPLSP-014; CFPLSP-015,pass-bridge,SPPCRC Forms 7E and 3P give actual/estimated and projected expenditures plus additions to plant for Distribution Inspection and Transmission Inspection.,"The extracted amounts are category capital-use and plant-addition rows, not a financing-source allocation or project-level asset ledger.","Capital spend, plant additions, or net plant is extracted for the selected category.","Extract WACC/capital-structure lines, true-up rows, and any storm-hardening physical output schedules for the same categories.",FPL now has category-level capital-use and plant-addition evidence for SPPCRC inspection programs.
CFPGW-003,FPL recovery category,"NextEra Energy, Inc.",regulated recovery,regulatory authority,"Commission order, docket, or clause authority approving or governing recovery.",CFPGFM-001; CFPGFM-002; CFPGFM-008; CFPGFM-010; CFPLFO-001; CFPLFO-002; CFPLFO-014,pass-bridge,"PSC order anchor, settlement term, SoBRA mechanism, SPPCRC docket evidence, and final 2026 SPPCRC factor/tariff authorization order are visible.",Approval is still not reconciled to every project-level asset ID or final customer receipt row.,Order or clause authority explicitly governs the selected capital category and recovery period.,Use the factor order and AP-1/AP-2 rows to build the final FPL category chain; add later true-up and cash/earnings evidence.,"FPL recovery authority is visible at framework, category, and 2026 factor-order level."
CFPGW-004,FPL recovery category,"NextEra Energy, Inc.",regulated recovery,allowed return input,"ROE, capital structure, WACC, or carrying-charge input tied to recovery.",CFPGFM-003; CFPGFM-004; CFPGFM-005; CFPLFW-011; CFPLFW-012; CFPLFW-013; CFPLFW-014,pass-bridge,"Settlement order provides 10.95% ROE, 9.95%-11.95% range, and 59.6% equity ratio; SPPCRC Forms 8E and 7P provide WACC and pre-tax weighted-cost inputs.","WACC/carrying charge is visible in SPPCRC, but still not reconciled to actual earned ROE or project-level return.",Allowed return or carrying charge is attached to selected category revenue requirement.,Tie WACC inputs to the selected category calculation and compare with final approved factor order and later true-up forms.,FPL has approved allowed-return inputs and SPPCRC carrying-charge inputs.
CFPGW-005,FPL recovery category,"NextEra Energy, Inc.",regulated recovery,customer cash recovery,"Tariff, rider, base-rate, or clause mechanism that collects cash from customers.",CFPGFM-006; CFPGFM-007; CFPGFM-008; CFPGFM-009; CFPGFM-010; CFPLSP-017; CFPLSP-018; CFPLFW-007; CFPLFW-008; CFPLFW-009; CFPLFW-010; CFPLFW-015; CFPLFW-016; CFPLFO-003; CFPLFO-004; CFPLFO-005; CFPLFO-006; CFPLFO-007; CFPLFO-008; CFPLFO-009; CFPLFO-010; CFPLFO-011; CFPLFO-012; CFPLFO-013; CFPLFO-014,pass-bridge,"Base-revenue steps, SoBRA petition path, SPPCRC revenue requirements, O&M category rows, retail separation factors, projected factors, final order-approved rate-class factors, effective billing period, and tariff authorization are visible.","Standalone stamped tariff sheets, actual customer receipts, collection timing, and customer-class billing determinants are not extracted.",Tariff/rider rate factors and effective dates are tied to revenue requirement.,"Search separately stamped tariff sheets, amended post-rate-case factors, and later actual/final true-up collection schedules.","FPL has final-factor-order customer-charge bridge evidence, not final customer cash collection proof."
CFPGW-006,FPL recovery category,"NextEra Energy, Inc.",regulated recovery,operating output,"MW, grid asset, reliability work, or service outcome tied to the capital category.",CFPGFM-017; CFPGFM-018; CFPLPD-001; CFPLPD-002; CFPLPD-003; CFPLPD-004; CFPLPD-005; CFPLPD-006; CFPLPD-007; CFPLPD-008; CFPLPD-009; CFPLPD-010; CFPLPD-011; CFPLPD-012; CFPLPD-013; CFPLPD-014; CFPLPD-015; CFPLPD-016; CFPLPD-017; CFPLPD-018,pass-bridge,"FPL service-territory denominators, same-period AP-1 inspection project counts, vegetation miles, actual costs, and AP-2 variance controls are visible for 2025 SPP work.","Program-summary output is visible, but individual feeder/project asset IDs and full category return rows are not normalized.",Output metric is linked to the same capital/recovery category.,"Parse AP-1 feeder/project-level rows if the next pass needs individual project IDs, start/completion timing, and variance amounts.","FPL has program-level physical-output evidence for 2025 SPPCRC work, not full project-return proof."
CFPGW-007,FPL recovery category,"NextEra Energy, Inc.",regulated recovery,realized earnings/cash,"Recognized revenue, AFUDC, O&M, depreciation, tax, and segment earnings tied to the category.",CFPGFM-006; CFPGFM-007; CFPGFM-010; CFPGFM-011; CFPLSP-007; CFPLSP-010; CFPLSP-013; CFPLSP-016; CFPLFW-001; CFPLFW-002; CFPLFW-003; CFPLFW-004; CFPLFW-005; CFPLFW-006; CFPLFT-001; CFPLFT-003; CFPLFT-004; CFPLFT-005; CFPLFT-008; CFPLFT-009; CFPLFT-010; CFPLFT-011; CFPLFT-012; CFPLFT-013; CFPLFT-014; CFPLFT-015; CFPLPD-010; CFPLPD-012; CFPLPD-014; CFPLPD-016; CFPLCE-001; CFPLCE-002; CFPLCE-003; CFPLCE-004; CFPLCE-005; CFPLCE-006; CFPLCE-007; CFPLCE-008; CFPLCE-009; CFPLCE-010; CFPLCE-011; CFPLCE-012; CFPLCE-013; CFPLCE-014; CFPLCE-015; CFPLCE-016; CFPLCE-017; CFPLCE-018; CFPLCE-019; CFPLCE-020; CFPLCE-021; CFPLCE-022; CFPLCE-023; CFPLCE-024; CFPLCA-001; CFPLCA-002; CFPLCA-003; CFPLCA-004; CFPLCA-005; CFPLDI-001; CFPLDI-002; CFPLDI-003; CFPLDI-004; CFPLDI-005; CFPLDI-006; CFPLDI-007; CFPLDI-008; CFPLDI-009; CFPLDI-010; CFPLDI-011; CFPLDI-012; CFPLDI-013; CFPLDIC-001; CFPLDIC-002; CFPLDIC-003; CFPLDIC-004; CFPLDIC-005; CFPLDIC-006; CFPLDIC-007; CFPLDIC-008; CFPLDIC-009; CFPLDIC-010; CFPLDIC-011; CFPLDIC-012; CFPLDIC-013; CFPLDIC-014; CFPLDIC-015; CFPLDIF-001; CFPLDIF-002; CFPLDIF-003; CFPLDIF-004; CFPLDIF-005; CFPLDIF-006; CFPLDIF-007; CFPLDIF-008; CFPLDIF-009; CFPLDIF-010; CFPLDIF-011; CFPLDIF-012,partial,"Revenue requirement, base-revenue steps, category recoverable expense rows, aggregate clause revenues, true-up mechanics, final 2025 true-up rows, same-period AP-1 output/cost rows, FPL-wide earnings/cash/capex/regulatory-ROE context, category-attribution bridge rows, Distribution Inspection attribution, final Form 7A equity/debt/depreciation component rows, and Form 8A capital-structure support are visible.","Actual Distribution Inspection customer receipts, source-of-funds allocation, and project-level cash conversion are still not reconciled.",Actual or authorized revenue converts into earnings/cash bridge for the selected period.,"Search SPPCRC rate-class billing determinant exhibits, later true-up collection schedules, financing use-of-proceeds, treasury allocation support, and AP-1 row-level project detail.","FPL has Distribution Inspection category-output-recovery-with-component-and-capital-structure attribution plus FPL-wide cash context, not SPPCRC category-level realized cash return."
CFPGW-008,FPL recovery category,"NextEra Energy, Inc.",regulated recovery,full pass decision,"All required chain steps align to the same category, period, and regulatory source.",CFPGFM-001; CFPGFM-002; CFPGFM-003; CFPGFM-004; CFPGFM-005; CFPGFM-006; CFPGFM-007; CFPGFM-008; CFPGFM-010; CFPGFM-011; CFPLSP-001; CFPLSP-005; CFPLSP-006; CFPLSP-007; CFPLSP-011; CFPLSP-012; CFPLSP-013; CFPLFW-003; CFPLFW-007; CFPLFW-010; CFPLFW-013; CFPLFW-014; CFPLFT-001; CFPLFT-008; CFPLFT-009; CFPLFT-012; CFPLFT-013; CFPLFT-014; CFPLFT-015; CFPLFO-001; CFPLFO-003; CFPLFO-005; CFPLFO-013; CFPLFO-014; CFPLPD-009; CFPLPD-010; CFPLPD-011; CFPLPD-012; CFPLPD-013; CFPLPD-014; CFPLPD-015; CFPLPD-016; CFPLPD-017; CFPLCE-003; CFPLCE-009; CFPLCE-010; CFPLCE-013; CFPLCE-016; CFPLCE-017; CFPLCE-020; CFPLCA-001; CFPLCA-002; CFPLDI-001; CFPLDI-002; CFPLDI-003; CFPLDI-004; CFPLDI-005; CFPLDI-006; CFPLDI-007; CFPLDI-008; CFPLDI-009; CFPLDI-010; CFPLDI-011; CFPLDI-012; CFPLDI-013; CFPLDIC-001; CFPLDIC-002; CFPLDIC-003; CFPLDIC-004; CFPLDIC-005; CFPLDIC-006; CFPLDIC-007; CFPLDIC-008; CFPLDIC-009; CFPLDIC-010; CFPLDIC-011; CFPLDIC-012; CFPLDIC-013; CFPLDIC-014; CFPLDIC-015; CFPLDIF-001; CFPLDIF-002; CFPLDIF-003; CFPLDIF-004; CFPLDIF-005; CFPLDIF-006; CFPLDIF-007; CFPLDIF-008; CFPLDIF-009; CFPLDIF-010; CFPLDIF-011; CFPLDIF-012,partial,"FPL now has order, allowed return, settlement revenue steps, aggregate and category SPPCRC recovery rows, rate-class factors, WACC inputs, true-up evidence, final factor/tariff authorization, same-period physical output/cost rows, FPL-wide earnings/cash context, category-attribution bridge rows, Distribution Inspection proof-gate attribution, final Form 7A component attribution, and Form 8A capital-structure support.","The chain still lacks Distribution Inspection customer receipts, source-of-funds allocation, and project-level return economics.","Full pass when selected category has capital, output, approved recovery, allowed return, customer charge, and cash/earnings timing.","Use the Distribution Inspection attribution, component, and receipts/financing boundary tables as the target schema and search for category receipts, source-of-funds allocation, workpaper notes, and AP-1 row-level detail.","FPL is Distribution Inspection category-output-recovery-with-component-and-capital-structure attribution partial, but still below full project-return-grade."
CFPGW-009,NextEra/Meta contracted projects,"NextEra Energy, Inc.",named customer contract,customer identified,Named customer or counterparty tied to clean-energy demand.,CFPGFM-019; CFPGFM-020; CFPGFM-021; CFPGFM-022,pass-bridge,Meta is named; PNM Rate 36B is named for New Mexico support.,Customer subsidiaries/project counterparties are not listed project by project.,Customer and utility/offtaker names are tied to each project or contract group.,"Find PPA/ESA appendices, regulatory filings, interconnection records, or project pages.",NextEra/Meta has named-customer evidence.
CFPGW-010,NextEra/Meta contracted projects,"NextEra Energy, Inc.",named customer contract,contract instrument,"PPA, ESA, tariff, or service mechanism tied to the customer/project group.",CFPGFM-020; CFPGFM-022,pass-bridge,"The release identifies 11 PPAs, two ESAs, and PNM Rate 36B support.","Contract tenors, prices, credit terms, and termination rights are not disclosed.",Instrument terms include price/tenor or enough tariff mechanics to model cash durability.,"Search PNM Rate 36B filings, PPA approval records, ERCOT/SPP/MISO project filings, and customer energy disclosures.","NextEra/Meta has contract-type evidence, not contract-economics proof."
