package_id,section,role,simple_claim,primary_chapters_or_examples,evidence_basis,proof_boundary,reader_use,next_step,status
ARFTS-001,Main thesis,Package frame,Annual reports are maps of economic bottlenecks rather than only company updates,"All seven polished chapters","Chapter polish files; theme writing architecture; long-form draft",Broad thesis is not final investment proof,Use as opening argument for the full essay,Convert into reader-facing introduction,ready
ARFTS-002,Power scarcity,Chapter spine,Electricity is becoming a growth constraint,"Constellation; Vistra; NRG; Exelon; Duke; AEP; NextEra/FPL; Sterling; MasTec","Power scarcity chapter polish; power/grid source maps; FPL/AEP/Duke evidence",Load capex and recovery evidence are not full customer-cash or project-return proof,Use as first chapter,Add one compact load-to-recovery exhibit,ready
ARFTS-003,Capital platforms,Chapter spine,Large capital platforms route money from savings pools to asset pools,"BlackRock; Blackstone; Apollo/Athene; KKR/Global Atlantic; Brookfield; Ares; Carlyle","Capital platforms chapter polish; dollar-pool map; statutory and borrower proof lanes",AUM inflows dry powder and originations are not borrower receipt or asset return proof,Use as financing chapter,Add source-wrapper-destination exhibit,ready
ARFTS-004,Industrial uptime,Chapter spine,Physical work depends on access to equipment parts support and execution,"United Rentals; Fastenal; WESCO; Grainger; Applied Industrial; MSC; Watsco; Sterling; MasTec","Industrial uptime chapter polish; URI and Sterling conversion evidence",Sales fleet OEC and backlog are not fleet-class ROIC or project collection proof,Use as operating execution chapter,Add uptime proof ladder exhibit,ready
ARFTS-005,Healthcare access,Chapter spine,Healthcare scarcity is organized access under cost labor reimbursement and trust pressure,"UnitedHealth; Cigna; DaVita; Option Care; Addus; BrightSpring; Enhabit","Healthcare access chapter polish; healthcare cluster synthesis",Revenue patients admissions and census are not care quality trust or cash-conversion proof,Use as human burden-transfer chapter,Add reimbursement and labor proof box,ready
ARFTS-006,Built environment,Chapter spine,Expensive shelter and aging systems shift spending toward upkeep repair replacement and civic infrastructure,"Home Depot; Lowe's; Builders FirstSource; Sherwin-Williams; West Fraser; Ferguson; Core & Main","Built-environment chapter polish; built-environment cluster synthesis",Housing exposure is not one thing and does not prove project receipts or ROIC,Use as housing-pressure chapter,Add sub-lane segmentation exhibit,ready
ARFTS-007,Digital control,Chapter spine,Online and AI activity needs permission routing security execution and governance,"Cloudflare; Akamai; Fastly; Zscaler; Fortinet; DigitalOcean; Roblox","Digital control chapter polish; internet software cluster synthesis",ARR RPO bookings traffic and AI ARR are not durable operating leverage proof,Use as digital trust chapter,Add ARR/RPO to cash-conversion exhibit,ready
ARFTS-008,Value retail,Chapter spine,Pressured consumers split the wallet by job instead of only trading down,"Costco; Walmart; Target; Dollar General; Dollar Tree; Burlington; Ollie's","Value retail chapter polish; value retail cluster synthesis",Traffic comps ticket and membership are not durable cohort or margin proof,Use as consumer chapter,Add wallet-split and regret-management exhibit,ready
ARFTS-009,Working capital,Proof box,Growth only matters if it converts into cash,"Target; Zebra; MSC; Global Industrial; Pool; Core Main; Arrow; Synchrony","Long-form proof box; working-capital theme architecture",Revenue and balance-sheet growth are not cash realization,Use as recurring discipline section,Build DSO inventory reserve OCF exhibit,next
ARFTS-010,Acquisition and backlog,Proof box,Acquisitions and backlog need post-close conversion proof,"Sterling; MasTec; URI/Yak; Core Main; Relation; MAI; Frontline; Atwell","Long-form proof box; acquisition/backlog theme architecture",Transaction size and backlog are not value creation or cash collection,Use as recurring discipline section,Build funding backlog burn margin retainage collection exhibit,next
ARFTS-011,Refinancing and debt reshaping,Proof box,Refinancing helps only if source use cost and future cash economics improve,"PBF; Matador; Devon; Liberty Broadband; Verizon; Wheaton","Debt/refinancing frontier; long-form proof box",Principal and coupon mechanics are not value creation without settlement and NPV evidence,Use as financial mechanics proof section,Build settlement coupon fee tax liquidity and NPV exhibit,next
ARFTS-012,Final verdict,Package close,The theme package is writing-ready with proof boundaries,"Seven chapter spines plus three proof boxes","All annual-report polish artifacts and evidence ledgers",The package is synthesis-ready but not a full named-cash proof corpus,Use as final takeaway and roadmap,Write continuous reader-facing essay with exhibits,ready
