graph_id,synthesis_id,queue_id,rank,case_name,route_group,who_controls_money,money_source,movement_mechanism,into_what,cash_back_channel,payback_beneficiary,current_proof_grade,binding_gap,next_unlock_source,safe_claim
CFMMPG16-001,CFEMMS-001,CFE2EGUQ-001,1,Wheaton Antamina,asset/project cash proxy,Wheaton Precious Metals,"Bank debt, revolver/term-loan capacity, and operating cash flow","Upfront PMPA payment buys future payable production rights","Antamina production stream","Stream revenue, OCF, profit, and asset denominator","Wheaton equity/debt capital stack through stream cash generation",strongest named asset cash-return proxy,"Full PMPA return, delivery curve, tax/interest allocation, debt-service waterfall, reserve-life sufficiency, IRR, and NPV","Delivered ounces, cash receipts, tax allocation, debt-service schedule, lender allocation, reserve-life support, and IRR/NPV model","Wheaton is the strongest current cash-return proxy but not full PMPA return proof."
CFMMPG16-002,CFEMMS-002,CFE2EGUQ-002,2,FPL Distribution Inspection,asset/project cash proxy,FPL / NextEra Energy,"Customer recovery mechanism, regulated capital structure, and utility cash/debt/equity support","SPPCRC clause recovery and true-up mechanics fund/recover storm-protection costs","Distribution Inspection storm-protection category","Final true-up, aggregate clause revenue, factor authority, and FPL cash context","FPL/NextEra rate-base capital providers through allowed recovery",strongest regulated recovery bridge,"Category customer receipts, billing determinant allocation, source-of-funds allocation, project IRR, and earned shareholder return","2027 SPPCRC actual/estimated filing, billing determinants, category allocation workpapers, customer receipts, and financing support","FPL is the best regulated recovery-to-cash bridge but not category customer-receipt or funding-allocation proof."
CFMMPG16-003,CFEMMS-003,CFE2EGUQ-007,3,Cheniere LNG,asset/project cash proxy,Cheniere Energy and operating subsidiaries,"Company cash generation, equity-funded growth capex, and entity debt buckets","Capital stack funds LNG trains and terminals under long-duration customer demand","SPL/CCL trains, Corpus Christi Stage 3, and cargo output","Revenue, adjusted EBITDA, DCF, DOE cargo/volume, and SPA denominator","Cheniere/CQP equity and debt capital through LNG sale cash and debt-service capacity",strong output/customer-demand cash proxy,"Train cost, debt draw, restricted cash, SPA economics, cargo-to-contract attribution, revenue, EBITDA, distribution, debt-service coverage, and project return","SPL/CQP/CCH indentures, train capex, restricted accounts, SPA pricing, cargo mapping, entity EBITDA, and debt-service waterfall","Cheniere has strong LNG source/use/output/customer-demand evidence but not train-level cash-waterfall proof."
CFMMPG16-004,CFEMMS-004,CFE2EGUQ-006,4,United Rentals fleet,asset/project cash proxy,United Rentals,"Rental-equipment purchase cash, gross rental capex, equipment-sale proceeds, and collateral capacity","Cash purchases and fleet investment generate owned-rental output","Rental fleet and Specialty/General equipment segments","OEC, rental revenue/OEC, margin, OCF/capex, and sale proceeds","URI equity/debt holders through fleet earnings, cash conversion, and collateral support",strong fleet cash-yield proxy,"Fleet-class OEC, utilization, growth/replacement capex, legal borrowing-base availability, reserves, advance rates, source-to-purchase allocation, and ROIC","Fleet category OEC, utilization, growth/replacement capex, borrowing-base certificates, collateral reports, and segment operating profit","URI has strong fleet cash-yield proxy evidence but not full fleet-class cash-yield or ROIC proof."
CFMMPG16-005,CFEMMS-005,CFE2EGUQ-004,5,Sterling backlog,asset/project cash proxy,Sterling Infrastructure,"Backlog/RPO, contract liabilities, operating cash, and expanded credit wrapper","Awards and credit support project execution into revenue and cash timing","E-infrastructure, transportation, and building-solutions backlog","OCF less capex, contract liabilities, debt/RPO, and credit capacity","Sterling equity/debt capital through project cash conversion and backlog execution",strong backlog conversion proxy,"Named owner funding, project margin, retainage/cash collection, bonded backlog, actual post-reset L/C usage, and source-to-project allocation","Owner budgets, funded-award evidence, retainage/receivable aging, bonded backlog, L/C usage, project margin, and collections","Sterling has strong backlog-to-company-cash conversion evidence but not project cash collection proof."
CFMMPG16-006,CFEMMS-006,CFE2EGUQ-005,6,Energy Transfer projects,asset/project cash proxy,Energy Transfer,"DCF, adjusted EBITDA, revolver availability, debt stack, and growth capex budget","Company capital stack funds midstream/export expansion projects","Nederland, Lone Star, y-grade, NGL, and export projects","Company EBITDA/DCF, output volume, and refinancing capacity","ET unitholders and creditors through partnership DCF and distribution/debt-service capacity",strong company project proxy,"Project cost, exact source-to-project allocation, customer cash, tariff billing volume, utilization, project EBITDA, DCF contribution, debt service, and return","Project capital schedules, shipper/customer contracts, tariff billing volumes, utilization, project EBITDA bridge, and debt-service allocation","Energy Transfer has strong company-level source/use/output/cash-proxy evidence but not named-project cash-realization proof."
CFMMPG16-007,CFEMMS-007,CFE2EGUQ-013,7,Apollo/Athene insurance channel,insurance/private-credit routing,Apollo and Athene,"Retirement-services inflows, Athene inflows, insurance liabilities, and invested assets","Liability-channel money moves into credit and alternatives","Athene invested assets, alternatives, direct origination, and asset-backed finance","Spread-related earnings, invested-asset base, and deployable capital","Athene policyholder liability stack and Apollo/Athene shareholders through spread earnings",insurance spread/cash proxy,"Statutory holdings, Schedule D/BA asset income, realized gains/losses, impairments, NAIC designations, rating migration, liability cost, and borrower cash","Athene statutory filings, Schedule D/BA, investment income schedules, realized gain/loss schedules, impairments, and NAIC designations","Apollo/Athene has liability-channel invested-asset and spread-earnings evidence but statutory asset-income and credit-quality proof remain missing."
CFMMPG16-008,CFEMMS-008,CFE2EGUQ-014,8,KKR / Global Atlantic channel,insurance/private-credit routing,KKR and Global Atlantic,"Insurance liabilities, credit AUM, and Ivy/sponsored reinsurance vehicle capital","Insurance balance sheet and credit platform route money into investment assets","Fixed maturities, mortgage and other loans, and credit investments","Investment income, loan income, LTV, and allowance proxies","Global Atlantic policyholder liability stack and KKR shareholders through asset-income spread",insurance asset-income proxy,"Statutory legal-entity schedules, Schedule D/BA holdings, NAIC designations, vehicle-to-borrower allocation, borrower facility use, cash receipts, and liability-cost spread","Global Atlantic statutory filings, Schedule D/BA, NAIC schedules, borrower/facility schedules, FHLB collateral files, and liability-cost schedules","KKR/Global Atlantic has insurance balance-sheet asset-income and credit-quality proxy evidence but statutory vehicle-to-borrower allocation remains unproven."
CFMMPG16-009,CFEMMS-009,CFE2EGUQ-003,9,Ares borrower exposure,insurance/private-credit routing,Ares and Ares-managed vehicles,"Ares-managed BDC and private-credit vehicle capital","Holder vehicles report named borrower exposure and commitments","Frontline Road Safety and other borrower exposures","Fair value and commitment destination evidence","Ares vehicle investors/lenders through borrower interest, repayments, and fair-value recovery",named borrower destination proof,"Total facility size, use of proceeds, borrower cash generation, lender allocation, Ares funded allocation, debt-service coverage, and bank-role proof","Borrower credit agreement, lender schedule, payoff letter, borrower financials, repayment evidence, and bank residual role support","Ares reaches named borrower destination and holder-dollar proof through Frontline but not full facility/use/cash proof."
CFMMPG16-010,CFEMMS-010,CFE2EGUQ-015,10,Blackstone credit channel,insurance/private-credit routing,Blackstone Credit & Insurance,"Credit and Insurance AUM, direct-lending inflows, BCRED, insurance SMAs, and platform capital","Platform and vehicle channels route capital into credit strategies and industry exposure","BXSL industries and borrower candidates including Auctane, Guidehouse, and Medallia","Segment distributable earnings, deployment, and strategy return proxy","Blackstone vehicle investors and shareholders through fees, investment income, and credit returns",channel and borrower-candidate proof,"Source vehicle funding, lender allocations, borrower facility use, interest income by borrower, repayment/cash flow, credit quality, allocation method, and residual bank role","BXSL/BCRED schedules, N-PORT, SMA holdings, borrower credit agreements, lender allocations, payoff letters, and borrower financials","Blackstone has credit and insurance channel scale plus borrower candidate evidence but borrower-use and cash-return proof remain incomplete."
