abs_id,company,ticker,sector,subtheme,asset_or_collateral_type,period,visible_amounts,funding_or_finance_evidence,source_basis,status_bucket,claim_read,boundary,next_source
ABF-001,Synchrony Financial,SYF,Financial,Merchant-linked consumer credit receivables,consumer loan receivables and purchase volume,Q2 2026,"loan receivables 102.2B USD; purchase volume 49.8B USD; deposits 81.1B USD at year-end 2025 representing 84% of total funding; CET1 13.2%; NIM 15.08%","deposit-funded credit platform and receivable spread economics visible; securitization/trust notes not yet extracted","company packet citing 2025 annual report, Q2 2026 earnings release, presentation, 10-Q, and 8-K",filed,"Synchrony is the strongest true asset-backed/credit-asset row: receivables are the operating asset, and funding/credit metrics are central to the model.","This pass does not yet prove securitized assets, ABS trusts, retained interests, warehouse lines, collateral advance rates, or trust performance.","Extract Synchrony 10-K/10-Q funding footnotes, securitization trust filings, credit-card master trust data, ABS notes, deposits by type, charge-offs, allowance, and retained interests."
ABF-002,Synchrony Financial,SYF,Financial,Credit performance and collateral quality,consumer credit-loss denominator,Q4 2025 to Q2 2026,"Q4 2025 loan receivables 103.8B USD; Q1 2026 loan receivables 100.1B USD; Q2 2026 loan receivables 102.2B USD; full-year net charge-off rate returned to 5.5%-6.0% long-term target range","credit quality metric attached to receivable base; ABS-level collateral performance not yet extracted","company packet citing Q4 2025, Q1 2026, and Q2 2026 filings and releases",filed,"Synchrony gives the lane a credit-performance bridge, not just receivable size.","Aggregate net charge-off guidance/range is not trust-level collateral performance or securitization waterfall evidence.","Extract allowance rollforward, delinquency buckets, net charge-offs by vintage/portfolio, securitized pool performance, trust monthly reports, and rating presales."
ABF-003,Pool Corp.,POOL,Industrial Goods,Receivables facility and seasonal working capital,trade receivables facility,Q2 2026,"receivables facility outstanding 315.5M USD as of 2026-06-30; first-half 2026 net sales 2.961B USD; operating income 350.3M USD","receivables facility explicitly central to seasonal working-capital support","company packet citing Q2 2026 10-Q, 8-K, and results release",filed,"Pool is the cleanest nonfinancial asset-backed row: seasonal trade receivables are explicitly financed through a receivables facility.","This pass does not yet show facility size, lenders, advance rate, sold/pledged receivables, maturity, pricing, or recourse terms.","Extract Pool Q2 2026 10-Q receivables facility footnote, facility agreement, eligible receivables, advance rate, maturity, pricing, purchaser/lender names, and collateral/recourse terms."
ABF-004,Pool Corp.,POOL,Industrial Goods,Seasonal inventory and receivables cycle,inventory and receivables working-capital load,Q1 2026 to Q2 2026,"receivables facility outstanding 300.0M USD as of 2026-03-31; 315.5M USD as of 2026-06-30; year-end 2025 operating cash flow 365.9M USD with product inventories rising sharply","seasonal working capital tied to financing and channel stocking","company packet citing annual report and Q1/Q2 2026 filings",filed,"Pool shows how installed-base distribution demand creates a seasonal financing product: early buys, inventory positioning, and receivable funding.","Inventory and seasonal working capital are not securitization proof by themselves.","Extract cash-flow working-capital schedule, inventory build by period, receivables aging, facility draw history, and eligible receivable pool data."
ABF-005,Arrow Electronics,ARW,Technology,Technology distribution working capital,accounts receivable and inventory,Q2 2026,"receivables about 28.0B USD; inventories about 5.94B USD; cash about 245M USD; Q2 operating cash flow 318M USD; Q1 operating cash flow 700M USD","working-capital intensity and supply-chain cash timing visible; no receivables facility or securitization extracted in packet","company packet citing Q2 2026 10-Q, Q1 2026 10-Q, and 2025 10-K",queued,"Arrow is a major collateral-search candidate because receivables and inventory are enormous and central to the distribution model.","Large receivables and inventories are not asset-backed financing evidence unless pledged, sold, warehoused, or financed through a facility.","Extract Arrow 10-K/10-Q debt and receivables footnotes, accounts-receivable programs, factoring/supplier-finance disclosure, inventory financing, collateralized credit facilities, and credit-risk transfer terms."
ABF-006,Arrow Electronics,ARW,Technology,Inventory risk mitigation,supplier-protected inventory,Q4 2025,"supplier protections covered about 56% of consolidated inventories for price reductions and about 59% for repurchase arrangements as of 2025-12-31","inventory risk-sharing protection visible; not a financing facility","company packet citing 2025 10-K",queued,"Arrow shows non-debt collateral economics: inventory is partially protected by supplier price and repurchase arrangements.","Supplier protections are not asset-backed debt, securitization, or collateralized funding unless linked to financing terms.","Extract supplier program footnotes, inventory valuation policy, return rights, supplier financing terms, and any collateralized borrowings."
ABF-007,Global Industrial,GIC,Industrial Goods,Distributor receivables and inventory,accounts receivable and inventory,Q2 2026,"cash 86.7M USD; accounts receivable 186.8M USD; inventories 163.6M USD; first-half operating cash flow 47.8M USD","working-capital balances visible; no receivable sale/facility extracted in packet","company packet citing Q2 2026 10-Q and results release",queued,"Global Industrial is a working-capital candidate where receivables and inventory support the procurement channel.","Receivables and inventory alone do not prove asset-backed funding.","Extract 10-K/10-Q debt footnotes, receivables aging, inventory pledge/collateral language, revolver borrowing base, supplier finance, and any factoring program."
ABF-008,Global Industrial,GIC,Industrial Goods,Tariff and inventory accounting,tarriff-related inventory and receivable cycle,Q2 2026,"IEEPA tariff refunds about 26.2M USD, including 21.1M USD tied to cost of sales, 4.0M USD reduction to inventory not yet sold, and 1.1M USD interest income","inventory accounting and cash refund effect visible; no financing instrument extracted","company packet citing Q2 2026 results release",queued,"Global Industrial shows inventory cost basis can become a material cash and margin item in distributor economics.","Tariff refunds and inventory accounting are not collateral financing.","Extract tariff receivable/refund accounting, inventory reserve policy, cash-flow classification, and any related credit-facility covenant effects."
ABF-009,MSC Industrial Direct,MSM,Industrial Goods,Industrial procurement working capital,inventory receivables and cash conversion,FY2025 to fiscal Q3 2026,"2025 operating cash flow 333.7M USD; fiscal H1 2026 operating cash flow 123.8M USD; more than 2.5M SKUs; 5 customer fulfillment centers; 9 regional inventory centers; 38 warehouses","working-capital and inventory-control importance visible; no financing facility extracted in packet","company packet citing 2025 10-K and fiscal 2026 10-Qs",queued,"MSC is a collateral-search row where inventory, receivables, vending, and In-Plant programs may support financing analysis later.","The packet does not yet show pledged receivables, inventory borrowing base, receivables sale, or securitization.","Extract debt footnote, revolver/credit agreement, working-capital schedule, receivables aging, inventory pledge language, and supplier-finance disclosure."
ABF-010,Target,TGT,Services,Retail working capital and capital spending,retail receivables inventory capex and marketplace flows,Q1 2026,"Q1 2026 capital expenditures increased 31% to 1.0B USD; non-merchandise sales increased 24.6%; Roundel, Target Circle 360, marketplace, and same-day delivery growth visible","operating and capex evidence visible; no asset-backed financing extracted in packet","company packet citing 2025 10-K and Q1 2026 10-Q/8-K",queued,"Target is a weak asset-backed candidate in this pass: it has retail/capex and marketplace signals, but no collateral funding proof from the packet.","Retail inventory, ads, membership, and capex do not equal ABS or receivables financing.","Extract 10-K debt footnotes, credit-card/receivables programs if any, inventory financing, supplier finance, leases, marketplace payables, and securitization disclosures."
