bridge_id,proof_gate,source_document,period,evidence_found,value_or_metric,current_status,what_it_proves,what_it_does_not_prove,next_required_source,upgrade_test,safe_use
CFWACRC-001,mineral stream table route,Wheaton Q2 2026 MD&A mineral stream interests table,Q2 2026,Antamina appears as a combined Glencore/BHP silver stream row in the mineral stream interests table,Antamina Glencore/BHP PER 67.50%,combined-stream-row-visible,Confirms the MD&A contains a named Antamina stream operating row,Does not isolate BHP PMPA receipts from legacy Glencore stream receipts,BHP-only delivery and receipt schedule,Upgrade if source separates Glencore and BHP Antamina delivered/sold ounces and cash,Use as combined-stream route
CFWACRC-002,combined upfront denominator,Wheaton Q2 2026 MD&A mineral stream interests table,Q2 2026,Antamina combined row shows total upfront consideration paid to June 30 2026,5.200000B USD paid,combined-upfront-denominator-visible,Confirms the combined Antamina stream investment denominator is visible,Does not prove BHP-only invested capital return or closing funds-flow,BHP PMPA closing statement and separate Glencore/BHP invested-capital rollforward,Upgrade if source separates 900M legacy Glencore stream from 4.3B BHP PMPA return base,Use as combined denominator
CFWACRC-003,combined cash flow generated,Wheaton Q2 2026 MD&A mineral stream interests table,Q2 2026,Antamina combined row shows cash flow generated to date,1.171862B USD,combined-cash-flow-generated-visible,Confirms cumulative cash-flow generated by the combined Antamina stream is disclosed,Does not prove period cash receipts or BHP PMPA-only cash receipts,Period receipt ledger and BHP-only cash-flow split,Upgrade if cash flow generated is split by PMPA and period with receipt support,Use as cumulative cash-flow proxy
CFWACRC-004,combined received and sold units,Wheaton Q2 2026 MD&A mineral stream interests table,Q2 2026,Antamina combined row shows units received and sold to date,56.718M silver ounces,combined-received-sold-units-visible,Confirms cumulative units received and sold are visible for the named combined Antamina stream,Does not prove invoice dates realized prices collected cash or BHP-only units,Delivery/sales ledger by PMPA and period,Upgrade if units received/sold reconcile to invoices cash receipts and realized prices,Use as cumulative delivery/sales proxy
CFWACRC-005,Q2 PBND,Wheaton Q2 2026 MD&A mineral stream interests table,Q2 2026,Antamina combined row shows payable ounces produced but not delivered at quarter end,1.412M silver ounces PBND,combined-pbnd-visible,Confirms the timing gap between production and delivery is visible for Antamina,PBND is not cash receipt and does not identify BHP-only ounces,PBND rollforward from production to delivery and sales,Upgrade if PBND rollforward shows delivery and receipt conversion,Use as timing-gap evidence
CFWACRC-006,Q2 production bridge,Wheaton Q2 2026 results release,Q2 2026,Wheaton reported Antamina produced attributable silver ounces in Q2 2026,2.3M attributable silver ounces,post-close-production-visible,Confirms post-close output after BHP PMPA effective date,Production is not delivered or sold ounce proof,Q2 production to PBND to sales reconciliation,Upgrade if Q2 production reconciles to delivered/sold ounces and revenue,Use as output bridge
CFWACRC-007,reported H1 Antamina economics,Wheaton Q2 2026 financial statements,H1 2026,Antamina stream-level revenue cost profit operating cash flow and asset base are visible,277.563M revenue; 222.223M OCF proxy; 4.708329B assets,stream-economics-visible,Confirms Antamina has reportable stream economics in the current financial statements,Does not reconcile economics to delivered ounces realized price tax interest or financing,Antamina sales/receipt schedule and tax/interest allocation,Upgrade if economics reconcile to units prices receipts and post-financing cash,Use as stream cash proxy
CFWACRC-008,cumulative cash yield proxy,Derived from Wheaton Q2 2026 MD&A mineral stream interests table,Q2 2026,Cash flow generated to date divided by combined upfront consideration paid,22.536% cumulative cash-flow-to-upfront proxy,derived-combined-cash-yield-proxy,Provides a bounded cumulative return screen for the combined Antamina stream,Not IRR NPV payback after tax financed return or BHP-only return,Source-backed delivery curve tax financing cost and return model,Upgrade if source provides IRR NPV or full return model,Use only as rough combined-stream screen
CFWACRC-009,cumulative unit cash proxy,Derived from Wheaton Q2 2026 MD&A mineral stream interests table,Q2 2026,Cash flow generated to date divided by units received and sold to date,20.66 USD per received/sold silver ounce proxy,derived-combined-unit-cash-proxy,Provides a rough cumulative cash-flow per received/sold ounce proxy,Not realized price invoice cash margin or BHP-only per-ounce economics,Invoice settlement and realized-price support,Upgrade if actual sales price and production payment reconcile by delivery,Use only as rough combined-stream screen
CFWACRC-010,full named cash proof verdict,Combined Wheaton Antamina public and local source stack,Q2 2026,Combined-stream cumulative received/sold and cash-flow evidence upgrades the receipt bridge but still lacks BHP-only delivered-cash proof,final verdict,combined-stream-cashflow-visible-bhp-receipt-proof-hold,Confirms Antamina is stronger than production-only and remains the best named asset proxy,Does not prove BHP-only deliveries invoices settlement cash lender waterfall tax interest IRR NPV or full return,BHP-only delivery/sales ledger settlement receipts debt-service allocation and return model,Upgrade only if source joins BHP PMPA use to delivery cash receipts financing payback and return math,Use as bounded strongest-proxy upgrade
