diagnostic_id,metric,value,units,proof_use,boundary,next_action
CFKKRGACDCEX-001,coordinate_disposal_rows,3,count,controls matched Accordia disposal coordinate extraction status,"Disposal coordinate columns are statutory row evidence, not settlement receipts, borrower use, liability spread, waterfall, collateral certificate, IRR, NPV, ROIC, or platform profit.","Build proof packets for Intel, Commonwealth Edison, and Orange that join owned interest, disposal columns, issuer/wrapper context, and remaining controlled-document gaps."
CFKKRGACDCEX-002,coordinate_columns_visible_rows,3,count,controls matched Accordia disposal coordinate extraction status,"Disposal coordinate columns are statutory row evidence, not settlement receipts, borrower use, liability spread, waterfall, collateral certificate, IRR, NPV, ROIC, or platform profit.","Build proof packets for Intel, Commonwealth Edison, and Orange that join owned interest, disposal columns, issuer/wrapper context, and remaining controlled-document gaps."
CFKKRGACDCEX-003,rows_with_consideration,3,count,controls matched Accordia disposal coordinate extraction status,"Disposal coordinate columns are statutory row evidence, not settlement receipts, borrower use, liability spread, waterfall, collateral certificate, IRR, NPV, ROIC, or platform profit.","Build proof packets for Intel, Commonwealth Edison, and Orange that join owned interest, disposal columns, issuer/wrapper context, and remaining controlled-document gaps."
CFKKRGACDCEX-004,raw_parser_money_token_count,17,count,controls matched Accordia disposal coordinate extraction status,"Disposal coordinate columns are statutory row evidence, not settlement receipts, borrower use, liability spread, waterfall, collateral certificate, IRR, NPV, ROIC, or platform profit.","Build proof packets for Intel, Commonwealth Edison, and Orange that join owned interest, disposal columns, issuer/wrapper context, and remaining controlled-document gaps."
CFKKRGACDCEX-005,coordinate_source_token_count,26,count,controls matched Accordia disposal coordinate extraction status,"Disposal coordinate columns are statutory row evidence, not settlement receipts, borrower use, liability spread, waterfall, collateral certificate, IRR, NPV, ROIC, or platform profit.","Build proof packets for Intel, Commonwealth Edison, and Orange that join owned interest, disposal columns, issuer/wrapper context, and remaining controlled-document gaps."
CFKKRGACDCEX-006,consideration_sum,1552579,USD,controls matched Accordia disposal coordinate extraction status,"Disposal coordinate columns are statutory row evidence, not settlement receipts, borrower use, liability spread, waterfall, collateral certificate, IRR, NPV, ROIC, or platform profit.","Build proof packets for Intel, Commonwealth Edison, and Orange that join owned interest, disposal columns, issuer/wrapper context, and remaining controlled-document gaps."
CFKKRGACDCEX-007,book_adjusted_carrying_value_at_disposal_sum,1754251,USD,controls matched Accordia disposal coordinate extraction status,"Disposal coordinate columns are statutory row evidence, not settlement receipts, borrower use, liability spread, waterfall, collateral certificate, IRR, NPV, ROIC, or platform profit.","Build proof packets for Intel, Commonwealth Edison, and Orange that join owned interest, disposal columns, issuer/wrapper context, and remaining controlled-document gaps."
CFKKRGACDCEX-008,realized_gain_loss_on_disposal_sum,-201672,USD,controls matched Accordia disposal coordinate extraction status,"Disposal coordinate columns are statutory row evidence, not settlement receipts, borrower use, liability spread, waterfall, collateral certificate, IRR, NPV, ROIC, or platform profit.","Build proof packets for Intel, Commonwealth Edison, and Orange that join owned interest, disposal columns, issuer/wrapper context, and remaining controlled-document gaps."
CFKKRGACDCEX-009,total_gain_loss_on_disposal_sum,-201672,USD,controls matched Accordia disposal coordinate extraction status,"Disposal coordinate columns are statutory row evidence, not settlement receipts, borrower use, liability spread, waterfall, collateral certificate, IRR, NPV, ROIC, or platform profit.","Build proof packets for Intel, Commonwealth Edison, and Orange that join owned interest, disposal columns, issuer/wrapper context, and remaining controlled-document gaps."
CFKKRGACDCEX-010,interest_or_dividends_received_sum,29251,USD,controls matched Accordia disposal coordinate extraction status,"Disposal coordinate columns are statutory row evidence, not settlement receipts, borrower use, liability spread, waterfall, collateral certificate, IRR, NPV, ROIC, or platform profit.","Build proof packets for Intel, Commonwealth Edison, and Orange that join owned interest, disposal columns, issuer/wrapper context, and remaining controlled-document gaps."
CFKKRGACDCEX-011,largest_consideration,1406099,USD,controls matched Accordia disposal coordinate extraction status,"Disposal coordinate columns are statutory row evidence, not settlement receipts, borrower use, liability spread, waterfall, collateral certificate, IRR, NPV, ROIC, or platform profit.","Build proof packets for Intel, Commonwealth Edison, and Orange that join owned interest, disposal columns, issuer/wrapper context, and remaining controlled-document gaps."
CFKKRGACDCEX-012,plain_number_token_recovery_rows,3,count,controls matched Accordia disposal coordinate extraction status,"Disposal coordinate columns are statutory row evidence, not settlement receipts, borrower use, liability spread, waterfall, collateral certificate, IRR, NPV, ROIC, or platform profit.","Build proof packets for Intel, Commonwealth Edison, and Orange that join owned interest, disposal columns, issuer/wrapper context, and remaining controlled-document gaps."
CFKKRGACDCEX-013,full_named_cash_proof_upgrades,0,count,controls matched Accordia disposal coordinate extraction status,"Disposal coordinate columns are statutory row evidence, not settlement receipts, borrower use, liability spread, waterfall, collateral certificate, IRR, NPV, ROIC, or platform profit.","Build proof packets for Intel, Commonwealth Edison, and Orange that join owned interest, disposal columns, issuer/wrapper context, and remaining controlled-document gaps."
CFKKRGACDCEX-014,next_parser,accordia-matched-disposal-owned-interest-proof-packet,parser,controls matched Accordia disposal coordinate extraction status,"Disposal coordinate columns are statutory row evidence, not settlement receipts, borrower use, liability spread, waterfall, collateral certificate, IRR, NPV, ROIC, or platform profit.","Build proof packets for Intel, Commonwealth Edison, and Orange that join owned interest, disposal columns, issuer/wrapper context, and remaining controlled-document gaps."
