review_id,area,decision,current_status,safe_public_claim,forbidden_claim,required_edit_or_exhibit,remaining_proof_gap,next_action,status
ARPRR-001,Package status,publication-ready-with-boundaries,"Essay, exhibits, chapter spines, and proof boxes are assembled.",Annual reports are useful maps of economic bottlenecks and burden transfer.,The package is complete investment proof or full named-cash proof.,Keep the proof boundary in the introduction and conclusion.,"Named receipts, billing, legal-entity schedules, debt waterfalls, collateral certificates, and return models.",Format final article with boundary language intact.,ready
ARPRR-002,Opening thesis,use as main frame,The thesis is clear and reader-facing.,Strong companies absorb burdens customers cannot easily manage.,All such companies are automatic winners or buys.,Add Exhibit 1 after the opening.,Company-specific durability and return proof.,Preserve simple wording and avoid stock-picking language.,ready
ARPRR-003,Exhibit placement,use all seven exhibits,Exhibits translate the work for readers.,Exhibits summarize the research architecture and proof limits.,Exhibits add new primary evidence.,Place exhibits where they teach the reader before the densest sections.,None for layout; proof gaps remain factual.,Use exhibit captions as guardrails.,ready
ARPRR-004,Power scarcity,publish with proof limits,"Strong theme support from load, capex, regulated recovery, grid reliability, and data-center demand.","Power is becoming an operating bottleneck, not just a utility bill.",Named customer receipts or project-level returns are fully proven.,Use power chapter and proof table.,"Receipts, billing determinants, rate recovery by category, project economics, and customer contracts.","Keep FPL/data-center cash proof as next-dig work, not completed proof.",ready
ARPRR-005,Capital platforms,publish with strict cash-chain limits,The platform-money-routing story is strong.,"Capital platforms route money from savers, insurers, funds, and vehicles into borrowers, assets, and credit markets.","AUM or inflows equal productive deployed capital, borrower receipts, or realized returns.",Use money-flow ladder before this section.,"Vehicle cash sources, legal-entity schedules, borrower receipt, debt waterfall, collateral data, and asset return.",Name Apollo/KKR-style row-level proof as the deeper follow-through lane.,ready
ARPRR-006,Industrial uptime,publish as operating-bottleneck chapter,"Evidence supports equipment, service, parts, backlog, and execution as uptime infrastructure.","Companies sell reliability, capacity, maintenance, and execution discipline.","Sales, backlog, OEC, or installed base prove cash return or ROIC.",Use chapter proof table.,"Project receipts, fleet-class returns, collateral certificates, retainage, and margin by contract.",Keep cash conversion language at company/theme level.,ready
ARPRR-007,Healthcare access,publish with quality and reimbursement boundaries,"Strong burden-transfer narrative around access, cost, labor, reimbursement, and trust.","Healthcare companies organize access where patients, employers, payers, and families face complexity.","Patient volume or revenue proves quality, fairness, trust, or cash collection.",Keep reimbursement and trust caveats visible.,"Claims paid, denials, outcomes, receivables, labor adequacy, and service-line cash conversion.",Avoid treating access scale as care-quality proof.,ready
ARPRR-008,Built environment,publish as upkeep and replacement chapter,"Evidence supports shelter burden, repair, materials, waterworks, and civic upkeep.","The built environment theme is about repair, replacement, maintenance, and infrastructure upkeep.",This is merely a generic housing-cycle or commodity beta story.,"Use company examples to split retail, Pro, materials, coatings, and waterworks.","Sub-lane receipts, branch economics, project funding, inventory cash turn, and acquisition returns.",Keep theme specific to upkeep burdens.,ready
ARPRR-009,Digital control,publish with durability boundaries,"Evidence supports routing, permissioning, security, governance, developer tools, and digital trust.","Digital companies increasingly sell control over traffic, identity, threats, workloads, and participation.","ARR, RPO, bookings, or traffic prove durable operating leverage.",Place proof table after explaining control points.,"Cohort retention, workload profitability, product margin, renewal economics, and safety costs.","Keep traffic and ARR as indicators, not final proof.",ready
ARPRR-010,Value retail,publish as pressured-wallet chapter,Evidence supports wallet splitting and regret management.,"Pressured consumers do not simply trade down; they split trips by job, trust, price, assortment, and convenience.","Traffic, comps, membership fees, or gross margin prove durable cohort quality.","Use examples across club, mass, dollar, off-price, and closeout formats.","Cohort quality, shrink, inventory turn by category, membership renewal quality, channel cash, and margin durability.",Avoid generic trade-down framing.,ready
ARPRR-011,Proof boxes,use as discipline layer,"Working capital, acquisition/backlog, and refinancing boxes clarify how money can lie.",Accounting signals become stronger only when tied to cash movement and returns.,The proof boxes execute all proof themselves.,Place Exhibit 4 before proof boxes and Exhibit 5 before conclusion.,"Actual DSO, backlog funding, funds-flow statements, purchase accounting, covenant schedules, and NPV models.","Use boxes as reader method, not evidence upgrade.",ready
ARPRR-012,Publication verdict,publish as bounded synthesis,The essay and exhibits are coherent and sourced to internal artifacts.,The package is ready for final article formatting as a bounded synthesis.,The package completes named-cash proof.,Add source notes and keep forbidden claims out of the final copy.,Full named-cash chain evidence remains for separate deep-dive lanes.,Move to final article formatting and source-note package.,ready
