bridge_id,company,ticker,period,source_file,source_section,evidence_type,metric_or_term,value,unit,what_it_says,what_it_does_not_say,next_required_source,safe_claim
CFLBHR-001,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Balance sheet,Cash/liquidity,Cash and cash equivalents,43.000,USD millions,"Liberty Broadband had 43M USD of cash and cash equivalents at June 30 2026.","This does not prove shareholder-level cash realization or liquidity sufficiency after transaction costs.","Liquidity schedule and merger closing statement.","Liberty has source-visible holding-company cash, but not operating-return proof."
CFLBHR-002,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Balance sheet,Collateral asset,Investment in Charter,5507.000,USD millions,"Liberty Broadband carried its equity-method investment in Charter at 5.507B USD at June 30 2026.","Carrying value is not cash realization or collateral sufficiency by itself.","Charter stake schedule, pledged-share schedule, market value, and merger close mechanics.","Liberty's main asset base is visibly tied to Charter."
CFLBHR-003,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Balance sheet,Debt,Current portion of debt,864.000,USD millions,"Liberty Broadband had 864M USD of current debt at June 30 2026.","This does not identify all collateral or refinancing economics.","Debt note, margin-loan collateral schedule, and repayment terms.","Liberty has source-visible current debt pressure."
CFLBHR-004,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Balance sheet,Debt,Long-term debt net,359.000,USD millions,"Liberty Broadband had 359M USD of long-term debt at June 30 2026.","This does not prove long-term leverage resilience.","Charter Loan Facility agreement and maturity/interest schedule.","Liberty has source-visible long-term holding-company debt."
CFLBHR-005,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt note,Debt instrument,Margin Loan Facility outstanding,864.000,USD millions,"The debt note shows 864M USD outstanding principal and carrying value under the Margin Loan Facility at June 30 2026.","This does not provide the full pledged-share cushion or margin-call risk.","Margin loan agreement, pledged-share schedule, LTV test, and collateral value.","Liberty's current debt is margin-loan-linked and collateralized by Charter shares."
CFLBHR-006,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt note,Debt instrument,Charter Loan Facility outstanding,359.000,USD millions,"The debt note shows 359M USD of Charter Loan Facility debt outstanding at June 30 2026.","This is transaction-linked debt, not operating output.","Charter loan agreement, repayment terms, and merger closing mechanics.","The Charter loan is visible as a holding-company financing instrument."
CFLBHR-007,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt note,Debenture retirement,3.125% Exchangeable Senior Debentures due 2053 outstanding,0.000,USD millions,"The debt table shows the 3.125% Exchangeable Senior Debentures due 2053 were no longer outstanding at June 30 2026 versus 956M USD at December 31 2025.","This does not by itself show the exact settlement economics.","Debenture settlement schedule and fair-value/debt extinguishment detail.","Liberty visibly retired the exchangeable debenture obligation during the period."
CFLBHR-008,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Margin Loan Facility note,Facility size,Term loan facility,1150.000,USD millions,"The margin-loan agreement provides a 1.15B USD term loan facility.","This does not show remaining collateral cushion or actual availability after all restrictions.","Margin loan LTV and collateral schedule.","The margin loan is a collateralized financing wrapper."
CFLBHR-009,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Margin Loan Facility note,Facility size,Revolving loan facility,1150.000,USD millions,"The margin-loan agreement provides a 1.15B USD revolving loan facility.","This does not prove future draw availability after funding conditions.","Margin loan funding conditions and collateral tests.","Liberty had margin-loan revolver capacity, bounded by collateral and conditions."
CFLBHR-010,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Margin Loan Facility note,Facility availability,Margin Loan Facility borrowing capacity,1076.000,USD millions,"At June 30 2026, SPV had 1.076B USD of borrowing capacity under the Margin Loan Agreement.","Capacity is not the same as unrestricted liquidity or shareholder realization.","Funding conditions, LTV ratio, and pledged-share market value.","Liberty had visible collateral-backed capacity."
