attempt_id,source_route,source_url,source_type,current_result,proof_effect,boundary,current_status,next_action,upgrade_test
CFAFPSA-001,Bain Capital transaction release,https://www.baincapital.com/news/frontline-road-safety-secures-strategic-investment-bain-capital,buyer/sponsor public release,"Bain entered a definitive agreement to acquire Frontline from Sterling in January 2025; management would remain significant investors",confirms sponsor transaction and operating borrower route,"financial terms debt package and source/use cash are not disclosed",route-visible-no-cash-proof,retain as sponsor-route support,"promote only if matched to financing package and funds-flow support"
CFAFPSA-002,Sterling Group completion release,https://sterling-group.com/the-sterling-group-completes-the-sale-of-frontline-road-safety-to-bain-capital/,seller completion public release,"Sterling completed the sale of Frontline to Bain and states financial terms were not disclosed",confirms sale close,"no proceeds financing lender or waterfall details",sale-close-visible-terms-undisclosed,retain as sale-close support,"promote only if seller proceeds and buyer financing are disclosed"
CFAFPSA-003,Kirkland transaction release,https://www.kirkland.com/news/press-release/2025/01/kirkland-advised-bain-capital-on-strategic-investment-in-frontline-road-safety,legal-adviser public release,"Kirkland advised Bain on the Frontline acquisition and states financial terms were not disclosed",confirms professional transaction route,"no facility lender proceeds or collateral detail",transaction-route-visible-terms-undisclosed,retain as legal-adviser route support,"promote only if linked to credit agreement or debt commitment letter"
CFAFPSA-004,Ares Q2 2026 direct-lending origination release,https://www.prnewswire.com/news-releases/ares-management-announces-second-quarter-2026-us-direct-lending-origination-activity-302839560.html,Ares origination public release,"Ares served as lead arranger and bookrunner for a senior secured credit facility supporting Bain Capital's continued growth plans for Frontline Road Safety Holdings",confirms Ares facility role and use clue,"no facility size lender allocation borrower cash collateral or repayment",arranger-role-visible-no-cash-proof,chase original Ares IR archive copy if available,"promote only if facility documents disclose amount lenders allocation and proceeds"
CFAFPSA-005,SEC EBDC holder schedule,https://www.sec.gov/Archives/edgar/data/2012839/000201283925000038/ebdc-20250630.htm,SEC investment schedule,"Frontline Road Safety LLC rows show revolver and term-loan markers with SOFR spread maturity par and fair value fields",strengthens holder-dollar and instrument-economics evidence,"holder schedule is not credit agreement lender schedule funds-flow borrower receipt or repayment waterfall",holder-schedule-visible-no-facility-proof,extract same-period holder rows if not already included,"promote only if reconciled to total facility and lender allocation"
CFAFPSA-006,SEC/public holder schedule search route,https://www.sec.gov/,SEC search route,"public searches surface holder schedules but not the private Frontline credit agreement or funds-flow documents",confirms public holder route exists,"decisive facility documents remain missing",public-sec-route-partial,search same borrower name variants across N-PORT and BDC filings,"promote only if an exhibit or schedule exposes facility terms and allocations"
CFAFPSA-007,Frontline credit agreement public search,public web search,public web route,"searches for Frontline Road Safety credit agreement senior secured facility lender schedule and SOFR/maturity terms did not surface a filed agreement",confirms likely controlled-document gap,"absence of public result does not prove document does not exist; it means not acquired in this public pass",not-found-public,move to controlled-document request route,"promote only if agreement or amendment is obtained"
CFAFPSA-008,Closing funds-flow and settlement route,public web search,public web route,"no public closing funds-flow memo settlement statement debt commitment letter or payoff letter found",keeps source/use cash gate on hold,"cash receipt and use remain unproven",not-found-public,request from transaction parties or lender/advisor package,"promote only if cash sources uses and recipients are reconciled"
CFAFPSA-009,Collateral and borrower financial route,public web search,public web route,"no public collateral package UCC/security summary borrower EBITDA free cash flow leverage or debt-service report found",keeps collateral and repayment gates on hold,"cannot prove secured collateral availability borrower cash generation or lender payback",not-found-public,look for rating report lender presentation or private credit monitor,"promote only if collateral and borrower cash support tie to facility"
CFAFPSA-010,Current Ares/Frontline decision,local synthesis,derived control route,"public evidence improves route confidence but decisive documents appear controlled/private",sets acquisition result,"not full named cash proof",hold-controlled-documents-needed,shift Ares/Frontline from public extraction to controlled-document request,"promote only if credit agreement lender schedule funds-flow borrower receipt collateral and repayment evidence join one row"
