boundary_id,evidence_gate,source,period,observed_fact,status,proves,does_not_prove,next_joinable_object
Q03-MCR-001,settlement mechanism,BHP Form 6-K,April 2 2026,"$4.3B upfront consideration; 20% ongoing transfer payment; settlement via metal credits with no physical delivery",observed,legal settlement form and counterparty timing,BHP-only credited ounces or Wheaton cash receipt,BHP PMPA metal-credit issuance and sale ledger
Q03-MCR-002,annual recipient-side cash,BHP FY2026 Form 20-F,FY2026,"$4.3B streaming proceeds; BHP 33.75% share; 90% payable factor; 100M-ounce threshold; no physical delivery",observed,annual legal and cash-flow classification,BHP-only credit quantity or Wheaton receipt,BHP-to-Wheaton credit statement and receipt/receivable
Q03-MCR-002A,upfront closing funds flow,Wheaton Q2 2026 results exhibit,April 1 2026,"Wheaton paid BHP $4.3B; new $1.5B term loan, revolver draw, and cash on hand partially funded the purchase",partially-observed,upfront payment direction and buyer funding perimeter,BHP-specific ongoing metal-credit receipt or asset-level return allocation,BHP PMPA credit issuance and sale/receivable-to-bank trail
Q03-MCR-003,combined production,Wheaton Q2 2026 results,Q2 2026,"2.319M combined attributable Antamina silver ounces produced and 2.063M sold",observed,post-close combined operating surface,BHP PMPA-only quantity or cash collection,BHP/Glencore allocation schedule
Q03-MCR-004,combined timing,Wheaton Q2 2026 financial statements,Q2 2026,"1.412M combined payable-metal units produced but not delivered; combined Antamina entitlement 67.5%",observed,delivery-timing and two-contract boundary,BHP-only undelivered quantity or settlement,credit issuance and contract-specific delivery schedule
Q03-MCR-005,receipt object,Wheaton accounting policy,Q2 2026,"precious-metal credit revenue recognized when credits are sold and control transfers",observed,correct accounting event to chase,reported revenue as collected BHP cash,credit sale invoice and receivable-to-bank reconciliation
Q03-MCR-006,return allocation,Q-03 return schema and public source perimeter,H1/Q2 2026,"funding, interest, tax, and receipt fields remain company-level or missing",evidence-insufficient,identifies missing asset-level return inputs,Antamina after-tax financed IRR/NPV,facility allocation; tax schedule; integrated PMPA return model
Q03-MCR-007,contractual entitlement calculation,BHP Form 6-K and FY2026 Form 20-F,life of stream,"33.75% BHP share x 90% payable factor = 30.375% before 100M-ounce threshold; 22.5% x 90% = 20.25% thereafter",calculated,scenario entitlement parameters,BHP-only delivered ounces, credit issuance, sale proceeds, or cash receipt,BHP-specific production-to-credit-to-bank schedule
Q03-MCR-008,company-level financing burden,Wheaton Q2 2026 MD&A,Q2/H1 2026,"$650M Q2 OCF; approximately $1.4B H1 OCF; higher interest expense partly reflects debt drawn to fund BHP Antamina PMPA",observed,period cash and financing-burden context,Antamina-specific OCF or interest allocation,BHP stream cash and facility-allocation schedule
Q03-MCR-009,combined Antamina segment cash surface,Wheaton Q2 2026 financial statements,Q2/H1 2026,"Q2 Antamina sales $150.549M, OCF $122.039M, net earnings $77.323M; H1 sales $277.563M, OCF $222.223M, net earnings $170.901M",observed,same-entity period-matched combined-stream operating and cash surface,BHP-only allocation credit-sale proceeds cash collection tax debt interest or common-owner residual,BHP/Glencore stream allocation and credit-to-bank schedule
Q03-MCR-010,combined stream accounting burden,Wheaton Q2 2026 financial statements,June 30 2026,"$5.201B combined Antamina stream-interest cost; $492.6M accumulated depletion; $4.708B carrying amount",observed,same-entity accounting-cost depletion and balance-sheet burden anchor,BHP-only purchase allocation fair value recurring receipt or asset-level return,BHP/Glencore acquisition allocation and source-linked return bridge
Q03-MCR-011,exact BHP financing cash-flow classification,BHP FY2026 Form 20-F cash-flow statement,FY2026,"$4.300B proceeds from streaming arrangement liability; $41M settlements of streaming arrangement liability; $(3.280B) net financing cash flows",observed,exact reported BHP financing-cash-flow line for the stream proceeds and settlement liability,Bank receipt timing internal use-of-proceeds allocation or recurring BHP-PMPA metal-credit collection,BHP cash-use schedule and BHP-PMPA credit-sale/receivable-to-bank ledger
Q03-MCR-012,counterparty credit support,Wheaton February 16 2026 Antamina acquisition announcement,transaction closing terms,"Top-level BHP parent guarantee and BHP holding-company guarantee; parent-guarantee recourse capped at the upfront deposit and reducing after certain ounces are received; holding-company guarantee recourse unlimited",observed,legal counterparty-credit support and recourse boundary,Actual guarantee claim or enforcement; delivered ounces; metal-credit sale; Wheaton receipt; liability-adjusted return,Executed guarantee instruments recourse schedule and BHP-PMPA delivery/receipt ledger
