control_id,cash_instrument_cusip,cash_instrument_description,named_family,part_c_row_count,part_c_ledger_ids,part_c_pages,part_c_row_mapping_statuses,part_c_book_candidate_rows_used,part_c_book_candidate_rows_excluded_ambiguous,part_c_book_candidate_sum_used,part_c_fair_candidate_rows_used,part_c_fair_candidate_rows_excluded_ambiguous,part_c_fair_candidate_sum_used,part_c_book_candidates_raw,part_c_fair_candidates_raw,schedule_d_row_count,schedule_d_row_ids,schedule_d_pages,schedule_d_actual_cost_sum,schedule_d_fair_value_sum,schedule_d_book_value_sum,schedule_d_interest_income_sum,schedule_d_interest_received_sum,part_c_book_vs_schedule_d_book_difference,part_c_fair_vs_schedule_d_fair_difference,numeric_control_status,what_is_proven,boundary,next_proof
CFAASDBNLC-0001,02300A-AA-8,AMAPS 1 LLC - Tranche A Note,AMAPS,2,CFAASDBPC-0074 | CFAASDBPC-0580,467 | 484,source-row-visible-component-columns-resolved,2,0,"404,450,000",2,0,"404,450,000","286,950,000 | 117,500,000","286,950,000 | 117,500,000",1,CFAASDFR-8510,6023,"1,917,500,000","1,917,500,000","1,917,500,000","48,871,440",,"-1,513,050,000","-1,513,050,000",matched-identity-component-exposure-control,A named Part C cash-instrument component is identity-matched to one or more Schedule D rows; unambiguous component candidates and statutory book/fair/income/received fields are shown side by side.,"The Part C component is not assumed to equal the full Schedule D holding. Differences may reflect replication structure, parent/component presentation, column sparsity, or lot perimeter. No field proves derivative settlement, custody remittance, policyholder-liability allocation, borrower repayment, or Apollo common-owner cash.","Obtain page-level source-column confirmation and a custody, counterparty, settlement/remittance, hedged-liability, and asset-income allocation record for the selected lot."
CFAASDBNLC-0002,02300A-AC-4,AMAPS 1 LLC - Tranche B Note,AMAPS,1,CFAASDBPC-0066,467,source-row-visible-column-sparse,1,0,"58,950,000",0,0,,"58,950,000",,1,CFAASDFR-8511,6023,"367,000,000","367,000,000","367,000,000","10,882,918",,"-308,050,000",,matched-identity-component-exposure-control,A named Part C cash-instrument component is identity-matched to one or more Schedule D rows; unambiguous component candidates and statutory book/fair/income/received fields are shown side by side.,"The Part C component is not assumed to equal the full Schedule D holding. Differences may reflect replication structure, parent/component presentation, column sparsity, or lot perimeter. No field proves derivative settlement, custody remittance, policyholder-liability allocation, borrower repayment, or Apollo common-owner cash.","Obtain page-level source-column confirmation and a custody, counterparty, settlement/remittance, hedged-liability, and asset-income allocation record for the selected lot."
CFAASDBNLC-0003,03990F-AE-2,ARES 2024-74A B,ARES,1,CFAASDBPC-0506,482,source-row-visible-column-sparse,1,0,"13,974,632",0,0,,"13,974,632",,1,CFAASDFR-7122,5994,"21,000,000","20,961,948","21,000,000","255,007","1,428,837","-7,025,368",,matched-identity-component-exposure-control,A named Part C cash-instrument component is identity-matched to one or more Schedule D rows; unambiguous component candidates and statutory book/fair/income/received fields are shown side by side.,"The Part C component is not assumed to equal the full Schedule D holding. Differences may reflect replication structure, parent/component presentation, column sparsity, or lot perimeter. No field proves derivative settlement, custody remittance, policyholder-liability allocation, borrower repayment, or Apollo common-owner cash.","Obtain page-level source-column confirmation and a custody, counterparty, settlement/remittance, hedged-liability, and asset-income allocation record for the selected lot."
CFAASDBNLC-0004,03990F-AG-7,ARES 2024-74A C,ARES,1,CFAASDBPC-0611,485,source-row-visible-column-sparse,1,0,"11,961,828",0,0,,"11,961,828",,1,CFAASDFR-7123,5994,"18,019,596","17,942,742","18,010,811","226,377","1,031,715","-6,048,983",,matched-identity-component-exposure-control,A named Part C cash-instrument component is identity-matched to one or more Schedule D rows; unambiguous component candidates and statutory book/fair/income/received fields are shown side by side.,"The Part C component is not assumed to equal the full Schedule D holding. Differences may reflect replication structure, parent/component presentation, column sparsity, or lot perimeter. No field proves derivative settlement, custody remittance, policyholder-liability allocation, borrower repayment, or Apollo common-owner cash.","Obtain page-level source-column confirmation and a custody, counterparty, settlement/remittance, hedged-liability, and asset-income allocation record for the selected lot."
CFAASDBNLC-0005,03990F-AJ-1,ARES 2024-74A D,ARES,1,CFAASDBPC-0507,482,source-row-visible-column-sparse,1,0,"17,976,420",0,0,,"17,976,420",,1,CFAASDFR-7124,5994,"22,007,636","21,971,180","22,004,417","326,733","1,547,758","-4,027,997",,matched-identity-component-exposure-control,A named Part C cash-instrument component is identity-matched to one or more Schedule D rows; unambiguous component candidates and statutory book/fair/income/received fields are shown side by side.,"The Part C component is not assumed to equal the full Schedule D holding. Differences may reflect replication structure, parent/component presentation, column sparsity, or lot perimeter. No field proves derivative settlement, custody remittance, policyholder-liability allocation, borrower repayment, or Apollo common-owner cash.","Obtain page-level source-column confirmation and a custody, counterparty, settlement/remittance, hedged-liability, and asset-income allocation record for the selected lot."
CFAASDBNLC-0006,03990H-AE-8,Ares Loan Funding IX - Tranche,ARES,1,CFAASDBPC-0015,465,source-row-visible-column-sparse,1,0,"14,933,610",0,0,,"14,933,610",,1,CFAASDFR-7125,5994,"15,000,000","14,933,610","15,000,000","177,273","446,867","-66,390",,matched-identity-component-exposure-control,A named Part C cash-instrument component is identity-matched to one or more Schedule D rows; unambiguous component candidates and statutory book/fair/income/received fields are shown side by side.,"The Part C component is not assumed to equal the full Schedule D holding. Differences may reflect replication structure, parent/component presentation, column sparsity, or lot perimeter. No field proves derivative settlement, custody remittance, policyholder-liability allocation, borrower repayment, or Apollo common-owner cash.","Obtain page-level source-column confirmation and a custody, counterparty, settlement/remittance, hedged-liability, and asset-income allocation record for the selected lot."
CFAASDBNLC-0007,03990H-AG-3,Ares Loan Funding IX - Tranche,ARES,1,CFAASDBPC-0016,465,source-row-visible-column-sparse,1,0,"17,342,023",0,0,,"17,342,023",,1,CFAASDFR-7126,5995,"28,999,748","28,903,372","28,998,411","358,435","630,699","-11,656,388",,matched-identity-component-exposure-control,A named Part C cash-instrument component is identity-matched to one or more Schedule D rows; unambiguous component candidates and statutory book/fair/income/received fields are shown side by side.,"The Part C component is not assumed to equal the full Schedule D holding. Differences may reflect replication structure, parent/component presentation, column sparsity, or lot perimeter. No field proves derivative settlement, custody remittance, policyholder-liability allocation, borrower repayment, or Apollo common-owner cash.","Obtain page-level source-column confirmation and a custody, counterparty, settlement/remittance, hedged-liability, and asset-income allocation record for the selected lot."
CFAASDBNLC-0008,03990H-AJ-7,Ares Loan Funding IX - Tranche,ARES,1,CFAASDBPC-0017,465,source-row-visible-column-sparse,1,0,"14,999,505",0,0,,"14,999,505",,1,CFAASDFR-7127,5995,"22,500,000","22,499,258","22,500,000","317,096","791,051","-7,500,495",,matched-identity-component-exposure-control,A named Part C cash-instrument component is identity-matched to one or more Schedule D rows; unambiguous component candidates and statutory book/fair/income/received fields are shown side by side.,"The Part C component is not assumed to equal the full Schedule D holding. Differences may reflect replication structure, parent/component presentation, column sparsity, or lot perimeter. No field proves derivative settlement, custody remittance, policyholder-liability allocation, borrower repayment, or Apollo common-owner cash.","Obtain page-level source-column confirmation and a custody, counterparty, settlement/remittance, hedged-liability, and asset-income allocation record for the selected lot."
CFAASDBNLC-0009,03990K-AJ-0,ARES 2025-77A D1,ARES,2,CFAASDBPC-0151 | CFAASDBPC-0457,470 | 480,source-row-visible-column-sparse,1,0,"14,344,888",1,0,"1,103,453","14,344,888","1,103,453",1,CFAASDFR-7128,5995,"22,000,000","22,069,058","22,000,000","746,655",,"-7,655,112","-20,965,605",matched-identity-component-exposure-control,A named Part C cash-instrument component is identity-matched to one or more Schedule D rows; unambiguous component candidates and statutory book/fair/income/received fields are shown side by side.,"The Part C component is not assumed to equal the full Schedule D holding. Differences may reflect replication structure, parent/component presentation, column sparsity, or lot perimeter. No field proves derivative settlement, custody remittance, policyholder-liability allocation, borrower repayment, or Apollo common-owner cash.","Obtain page-level source-column confirmation and a custody, counterparty, settlement/remittance, hedged-liability, and asset-income allocation record for the selected lot."
CFAASDBNLC-0010,039939-AW-3,ARES 2022-67A CR,ARES,1,CFAASDBPC-0360,477,source-row-visible-component-columns-resolved,1,0,"2,737,800",1,0,"2,790,774","2,737,800","2,790,774",1,CFAASDFR-7129,5995,"3,940,000","3,986,820","3,911,170","40,759","175,367","-1,173,370","-1,196,046",matched-identity-component-exposure-control,A named Part C cash-instrument component is identity-matched to one or more Schedule D rows; unambiguous component candidates and statutory book/fair/income/received fields are shown side by side.,"The Part C component is not assumed to equal the full Schedule D holding. Differences may reflect replication structure, parent/component presentation, column sparsity, or lot perimeter. No field proves derivative settlement, custody remittance, policyholder-liability allocation, borrower repayment, or Apollo common-owner cash.","Obtain page-level source-column confirmation and a custody, counterparty, settlement/remittance, hedged-liability, and asset-income allocation record for the selected lot."
