packet_id,rank,target_case,decisive_source_target,search_route,current_public_find,status_change,current_status,what_it_proves,what_it_does_not_prove,next_required_source,upgrade_test,linked_matrix_row
CFT3NCAP-001,1,Wheaton Antamina,Delivered-ounce receipts,Public Wheaton Q1 2026 release and Antamina transaction materials,First deliveries under the BHP Antamina PMPA were anticipated at the end of May 2026,delivery-timing-context-added,source-route-improved-hold,Improves timing route for when delivered-ounce evidence should begin,Does not prove actual delivered ounces invoices cash receipts tax interest debt service IRR or NPV,Delivered-ounce receipt schedule PMPA invoice support lender waterfall reserve report and IRR/NPV model,Upgrade only if actual Antamina receipts costs financing costs reserves and return model reconcile to the 4.300B USD PMPA cash use,CFNCPESM-001
CFT3NCAP-002,1,Wheaton Antamina,Reserve-life and production profile,Public Wheaton/BHP Antamina transaction materials,Public deal materials cite expected average attributable silver production and reserve-life context through 2036,production-profile-context-confirmed,source-route-improved-hold,Supports reserve-life and production-profile route for return model construction,Does not prove source-backed delivery curve depletion taxes financing cost or valuation model,Reserve report mine plan delivery curve and source-backed PMPA valuation model,Upgrade only if reserve and production schedules support source-backed IRR NPV or payback math,CFNCPESM-001
CFT3NCAP-003,1,Wheaton Antamina,Debt waterfall and lender allocation,Current local/public source search,no public/current local source found for Antamina-specific lender waterfall or repayment allocation,no-upgrade,debt-waterfall-hold,Narrows the unresolved proof to lender and repayment records,Does not prove lender commitments interest allocation borrowing notices restricted accounts debt service or payback,Bank facility agreement lender schedule borrowing notices and repayment waterfall,Upgrade only if debt records allocate financing and repayment to Antamina PMPA funding,CFNCPESM-001
CFT3NCAP-004,2,FPL Distribution Inspection,Billing determinants and category receipts,Florida PSC SPPCRC filings and docket route,PSC filings confirm SPPCRC factor calculation route and that projected SPP costs feed revenue requirements,no-category-receipt-upgrade,psc-route-confirmed-hold,Confirms the correct regulatory source family and factor/revenue-requirement route,Does not prove Distribution Inspection billed revenue collected cash or rate-class usage,Billing determinant schedules rate-class usage and category receipt ledger,Upgrade only if billed or collected cash is allocated to Distribution Inspection by rate class and period,CFNCPESM-002
CFT3NCAP-005,2,FPL Distribution Inspection,Source-of-funds and earned-return workpapers,Florida PSC SPPCRC filings and rate-case route,Current public route shows cost recovery and capital-structure context but not funding-source allocation,no-upgrade,source-funds-earned-return-hold,Maintains route to regulated recovery and cost-of-capital support,Does not prove debt/equity funding source actual earned ROE shareholder cash return or project IRR,Source-of-funds allocation earned ROE workpapers and project return schedule,Upgrade only if funding sources customer receipts and earned return reconcile to Distribution Inspection,CFNCPESM-002
CFT3NCAP-006,2,FPL Distribution Inspection,Discovery or staff workpapers,Florida PSC docket search,No current public source found that isolates Distribution Inspection receipt workpapers,no-upgrade,workpaper-hold,Identifies PSC discovery/staff workpapers as the next high-value pull,Does not prove category allocation billing determinant or collection support,PSC discovery responses staff workpapers and Form 2A category revenue reconciliation,Upgrade only if workpapers map aggregate SPPCRC revenue to Distribution Inspection receipts,CFNCPESM-002
CFT3NCAP-007,3,PBF refinancing,Completed redemption evidence,PBF Q2 2026 10-Q and pricing/redemption materials,PBF disclosed that all 801.6M USD of 2028 notes were redeemed on June 25 2026 using proceeds from 2034 notes and available cash,completed-redemption-confirmed,completed-redemption-visible-hold,Confirms named source/use and completed debt destination,Does not prove accrued-interest amount cash-on-hand split fees taxes liquidity effect or economic return,Trustee redemption statement accrued-interest schedule and cash-on-hand bridge,Upgrade if settlement records reconcile new notes available cash accrued interest fees and old-note retirement,CFNCPESM-003
CFT3NCAP-008,3,PBF refinancing,Net proceeds and fee bridge,PBF Q2 2026 10-Q,PBF disclosed 492.1M USD net proceeds from 500.0M USD 2034 notes after initial purchasers' discount and offering expenses,net-proceeds-confirmed,source-use-proxy-improved,Confirms gross-to-net proceeds bridge for the new notes,Does not prove all fees amortization tax treatment or full cash contribution from balance sheet,Offering settlement fee amortization schedule and treasury ledger,Upgrade if note proceeds fees available cash and redemption cash all reconcile,CFNCPESM-003
CFT3NCAP-009,3,PBF refinancing,Accrued interest and settlement detail,PBF Q2 2026 10-Q and redemption materials,Redemption was at par plus accrued and unpaid interest up to but excluding June 25 2026 but exact accrued-interest cash is not disclosed,no-settlement-upgrade,settlement-detail-hold,Identifies the remaining settlement cash gap,Does not prove accrued-interest amount exact settlement cash tax fee or liquidity effect,Trustee redemption statement cash settlement notice and treasury cash ledger,Upgrade only if the settlement statement gives principal accrued interest fees dates and cash sources,CFNCPESM-003
CFT3NCAP-010,top three,full named cash proof,Full source/use/receipt/payback/return proof package,Combined local and public search,no top-three case currently joins source use receipt or settlement payback/legal availability and return end to end,no-full-promotion,top-three-full-proof-hold,Confirms the acquisition pass changed source priority but not proof grade,Does not prove full named cash path for Wheaton FPL or PBF,Top-three decisive source packages listed in the markdown pass,Upgrade only when the same named row joins source use cash receipt or settlement legal/payback support and return math,CFNCPESM-001;CFNCPESM-002;CFNCPESM-003
