bridge_id,queue_id,evidence_gate,evidence_source,current_status,period,evidence_now,value_or_metric,proof_result,money_movement_answer,missing_proof,next_required_source,safe_claim
CFAPOASCR-001,CFE2EGUQ-013,liability-inflow-channel,capital-flow-apollo-athene-q2-2026-extractions.csv,visible,Q2 2026,retirement services total gross inflows,22069 USD millions,passes-channel-inflow-visibility,"Retirement-services inflows provide the incoming liability-capital channel for Apollo/Athene.","This does not identify which liabilities funded which assets, borrowers, or statutory holdings.","Athene statutory statements, liability roll-forward, and investment allocation schedule.","Apollo/Athene has liability-channel, invested-asset, and spread-earnings evidence, but statutory asset-income and credit-quality proof remain missing."
CFAPOASCR-002,CFE2EGUQ-013,athene-attributable-inflows,capital-flow-apollo-athene-q2-2026-extractions.csv,visible,Q2 2026,inflows attributable to Athene,17095 USD millions,passes-athene-inflow-visibility,"Athene-attributable inflows show that a large portion of the retirement-services channel is tied to the owned insurance platform.","This does not prove allocation into private credit, Schedule D/BA assets, or borrower destinations.","Athene statutory source/use schedule and investment acquisition detail.","Apollo/Athene has liability-channel, invested-asset, and spread-earnings evidence, but statutory asset-income and credit-quality proof remain missing."
CFAPOASCR-003,CFE2EGUQ-013,net-flow-channel,capital-flow-apollo-athene-q2-2026-extractions.csv,visible,Q2 2026,retirement services net flows,11928 USD millions,passes-net-flow-visibility,"Net flows show positive current-period liability-capital growth after outflows.","Net flows do not show asset allocation, spread, surrender quality, or cash return by asset class.","Liability movement schedule, surrender/outflow detail, and asset-purchase schedule.","Apollo/Athene has liability-channel, invested-asset, and spread-earnings evidence, but statutory asset-income and credit-quality proof remain missing."
CFAPOASCR-004,CFE2EGUQ-013,invested-asset-base,capital-flow-apollo-athene-q2-2026-extractions.csv,visible,Q2 2026,gross invested assets,413598 USD millions,passes-invested-asset-denominator,"The liability channel sits on a very large gross invested-asset base.","Gross invested assets do not identify asset class, statutory designation, impairment, income, or cash receipt.","Statutory Schedule D/BA holdings and investment income by asset class.","Apollo/Athene has liability-channel, invested-asset, and spread-earnings evidence, but statutory asset-income and credit-quality proof remain missing."
CFAPOASCR-005,CFE2EGUQ-013,net-invested-assets,capital-flow-apollo-athene-q2-2026-extractions.csv,visible,Q2 2026,net invested assets,314090 USD millions,passes-net-invested-asset-denominator,"Net invested assets give a cleaner retirement-investment denominator for spread economics.","This still does not separate public credit, private credit, ABF, alternatives, ratings, NAIC designations, or borrower names.","Investment portfolio schedule by statutory asset class and rating/designation.","Apollo/Athene has liability-channel, invested-asset, and spread-earnings evidence, but statutory asset-income and credit-quality proof remain missing."
CFAPOASCR-006,CFE2EGUQ-013,alternative-investment-exposure,capital-flow-apollo-athene-q2-2026-extractions.csv,visible,Q2 2026,gross alternative investments,20396 USD millions,passes-alternative-bucket-visibility,"Apollo/Athene discloses a meaningful alternatives bucket inside the retirement investment base.","Alternatives do not equal all private credit and do not prove borrower use or cash return.","Alternative investment schedule, private-credit composition, and statutory treatment.","Apollo/Athene has liability-channel, invested-asset, and spread-earnings evidence, but statutory asset-income and credit-quality proof remain missing."
CFAPOASCR-007,CFE2EGUQ-013,spread-earnings,capital-flow-apollo-athene-q2-2026-extractions.csv,visible,Q2 2026,spread related earnings,877 USD millions,passes-spread-earnings-proxy,"The retirement/invested-asset channel produces visible spread-related earnings.","Spread earnings are not asset-class cash income, risk-adjusted spread, or statutory investment income by holding.","Investment income by asset class, liability cost, realized gains/losses, impairments, and credit migration.","Apollo/Athene has liability-channel, invested-asset, and spread-earnings evidence, but statutory asset-income and credit-quality proof remain missing."
CFAPOASCR-008,CFE2EGUQ-013,apollo-credit-lane-scale,capital-flow-apollo-athene-fy2025-asset-quality-extractions.csv,visible,FY2025,direct origination AUM,302.1 USD billions,passes-credit-manufacturing-scale,"Apollo has large direct-origination credit strategy scale that can receive insurance-linked capital.","AUM does not prove Athene balance-sheet allocation, statutory ownership, or borrower cash return.","Allocation bridge from Athene accounts to Apollo direct-origination assets and borrower documents.","Apollo/Athene has liability-channel, invested-asset, and spread-earnings evidence, but statutory asset-income and credit-quality proof remain missing."
CFAPOASCR-009,CFE2EGUQ-013,abf-lane-scale,capital-flow-apollo-athene-fy2025-asset-quality-extractions.csv,visible,FY2025,asset-backed finance AUM,282.7 USD billions,passes-abf-scale,"Asset-backed finance is a large Apollo credit-routing lane relevant to liability-funded asset deployment.","ABF AUM is not statutory asset ownership or cash-return evidence.","ABF asset composition, statutory holdings, income, ratings, and impairment data.","Apollo/Athene has liability-channel, invested-asset, and spread-earnings evidence, but statutory asset-income and credit-quality proof remain missing."
CFAPOASCR-010,CFE2EGUQ-013,athene-account-scale,capital-flow-apollo-athene-fy2025-asset-quality-extractions.csv,visible,FY2025,Athene Accounts AUM,392.2 USD billions,passes-athene-managed-account-scale,"Athene-related accounts are a large Apollo-managed capital base.","AUM is not the same as statutory admitted assets, cash income, or capital quality.","Athene statutory balance sheet and investment schedules by legal entity.","Apollo/Athene has liability-channel, invested-asset, and spread-earnings evidence, but statutory asset-income and credit-quality proof remain missing."
